rank,name,state,revenue,growth,industry,workers,founded,yrs_on_list,previous_workers,metro,city
819,Ametros,MA,9.2 Million,521.8187,Health,89,2010,2,17,Boston,"Wilmington, MA"
820,Greek House,CA,2.4 Million,521.6785,Consumer Products & Services,24,2013,1,3,Los Angeles,Los Angeles
821,The Ricciardi Group,NY,2.7 Million,521.5848,Advertising & Marketing,10,2014,1,1,New York City,New York
822,Blackstone Fire Control,NC,8.2 Million,519.3971,Construction,43,2014,1,6,,Greensboro
823,Levementum,IN,19.5 Million,518.3926,Business Products & Services,103,2006,1,25,Phoenix,Indianapolis
824,Key Tower,IL,4.5 Million,518.0285,Telecommunications,50,2014,1,15,Chicago,Chicao
825,Kids in the Game,NY,3.7 Million,517.3035,Education,150,2013,2,30,New York City,New York
826,Hubb,WA,4 Million,516.4806,Business Products & Services,50,2015,1,13,,Washington
827,Body del Sol Medical Spa,CA,3.4 Million,515.5725,Retail,10,2010,2,5,,fresno
828,Xero Shoes,CO,8.8 Million,515.4058,Consumer Products & Services,33,2010,3,6,Denver,Broomfield
829,Bluecore,NY,24.3 Million,512.6748,Advertising & Marketing,179,2013,2,64,New York City,New York
830,Valiant Residential,TX,4.2 Million,512.6056,Real Estate,211,1974,1,28,Dallas,Dallas
831,Flavors15,OH,4.5 Million,511.9625,Manufacturing,13,2015,1,4,,Miamisburg
832,Passport,NC,21.7 Million,510.6547,Software,218,2010,2,58,Charlotte,Charlotte
833,Integrative Physiatry,CA,5.1 Million,510.3643,Health,46,2014,1,2,Los Angeles,Irvine
834,IPfolio,CA,4.8 Million,509.7145,Software,30,2012,2,7,San Francisco,Berkeley
835,Southern Designs,LA,5.1 Million,508.6488,Manufacturing,40,2008,3,15,,Vidalia
836,Sabio Mobile,CA,12.2 Million,508.0951,Advertising & Marketing,50,2014,1,10,Los Angeles,Santa Monica
837,Tellenger,MD,9.3 Million,507.1986,IT System Development,15,2007,1,10,"Washington, DC",Rockville
838,Kodiak Cakes,UT,102.2 Million,505.945,Food & Beverage,63,1995,2,8,Salt Lake City,Park City
839,US Aluminum Services,FL,9.5 Million,503.9739,Construction,15,2010,6,5,"Orlando, FL",Orlando
840,Trellis,MA,3.1 Million,503.8697,IT System Development,51,2012,1,8,Boston,Medford
841,Sgt. Clean's Car Wash,OH,5.5 Million,503.413,Retail,65,2013,2,20,Cleveland,Westlake
842,CoSchedule,ND,5.8 Million,502.49,Software,55,2013,2,20,,Bismarck
843,"Merit321, Launching Careers",MD,2.9 Million,502.1592,Business Products & Services,26,2014,1,14,"Washington, DC",Rockville
844,Freight Right Global Logistics,CA,11.1 Million,501.614,Logistics & Transportation,16,2007,3,4,Los Angeles,La Crescenta
845,HQSoftware,NY,3 Million,501.399,Software,90,2001,2,30,New York City,New York
846,Bond Collective,NY,11.6 Million,501.0436,Real Estate,32,2013,2,5,New York City,New York
847,Boll & Branch,NJ,72.8 Million,500.942,Consumer Products & Services,45,2014,1,6,New York City,Summit
848,ApplePie Capital,CA,4.9 Million,500.6083,Financial Services,42,2014,1,10,San Francisco,SF
849,Carroll Organization,GA,69.7 Million,499.687,Real Estate,850,2004,1,350,Atlanta,Atlanta
850,TESCHGlobal,WI,7 Million,499.0459,IT Management,49,2005,2,15,Milwaukee,Grafton
851,ZeroBounce,FL,3.5 Million,498.8873,Business Products & Services,27,2013,1,4,"Santa Barbara-Santa Maria-Goleta, CA",Boca Raton
852,Hubstaff,IN,4.1 Million,498.2928,Software,45,2012,2,15,"Indianapolis, IN",Fishers
853,SEI-Chicago,IL,5.4 Million,497.5185,Business Products & Services,20,2014,2,5,Chicago,Chicago
854,Greenix Holdings,UT,14.6 Million,497.3008,Environmental Services,617,2011,1,37,"Provo-Orem, UT",Orem
855,Flywheel,NE,14.4 Million,496.9361,IT Management,174,2012,2,26,"Omaha-Council Bluffs, NE-IA",Omaha
856,Clear Touch,SC,44.8 Million,495.9447,Business Products & Services,34,2012,2,5,,Greenville
857,Critical Project Services,TX,20 Million,495.2494,Construction,50,2009,1,12,Dallas,Dallas
858,Kaizen Media Group,NY,14.5 Million,495.1791,Advertising & Marketing,15,2015,1,3,New York City,New York
859,Lyon Stahl Investment Real Estate,CA,6.5 Million,494.6105,Real Estate,53,2014,1,5,Los Angeles,El Segundo
860,Wellbots,NY,2.9 Million,494.5409,Consumer Products & Services,15,2014,1,2,New York City,New York
861,HomeWorks Energy,MA,59.9 Million,494.3132,Energy,366,2012,4,149,Boston,Medford
862,The Agency Texas,TX,5.6 Million,493.8128,Real Estate,75,2013,1,5,Austin,Austin
863,Hireology,IL,21.4 Million,493.118,Business Products & Services,182,2011,4,92,Chicago,Chicago
864,Omaze,CA,27 Million,493.1149,Advertising & Marketing,94,2012,3,71,Los Angeles,Los Angeles
865,Billy Gene Is Marketing,CA,7.5 Million,491.138,Advertising & Marketing,24,2015,1,9,San Diego,San Diego
866,Baseballism,OR,13 Million,490.5528,Retail,115,2012,1,30,,Portland
867,Changeis,VA,14 Million,490.1865,Government Services,86,2009,4,24,"Washington, DC",Rosslyn
868,F3 MFG,ME,17.2 Million,489.9901,Manufacturing,156,2010,2,14,,Waterville
869,Gimbal,CA,32.6 Million,489.08,Advertising & Marketing,72,2012,3,36,Los Angeles,Los Angeles
870,Universal Windows Direct,OH,105.6 Million,489.0084,Construction,300,2002,2,51,,Bedford Hts
871,CFOL International,GA,3.2 Million,488.8405,Government Services,8,2009,2,5,Atlanta,Atlanta
872,VRC Metal Systems,SD,11.2 Million,487.6797,Manufacturing,55,2013,3,22,,Rapid City
873,Marketplace Ops,CA,13.1 Million,487.119,Advertising & Marketing,68,2014,1,10,Los Angeles,Los Angeles
874,Walk West,NC,5.2 Million,486.8267,Advertising & Marketing,38,2007,2,7,"Raleigh, NC",Raleigh
875,Marketopia,FL,5.4 Million,486.3766,Advertising & Marketing,81,2014,2,23,Tampa,Clearwater
876,B&B Beverage Management,AL,2.7 Million,485.6782,Food & Beverage,11,2008,1,3,,Auburn
877,Zip Moving and Storage,MD,2.7 Million,485.4499,Logistics & Transportation,3,2015,1,3,"Washington, DC",Gaithersburg
878,Website Closers,FL,7.6 Million,485.1663,Business Products & Services,25,2013,2,5,Tampa,Tampa
879,ConversionPoint Technologies,CA,39.8 Million,484.6389,Software,86,2015,2,10,Los Angeles,Newport Beach
880,Parrish and Partners,SC,12.1 Million,484.589,Engineering,63,2013,2,28,"Columbia, SC",Columbia
881,OH Partners,AZ,46.3 Million,483.9554,Advertising & Marketing,110,2008,7,22,Phoenix,Phoenix
882,Stratus Video,FL,56.4 Million,482.5955,Telecommunications,990,2011,7,100,Tampa,Clearwater
883,Etegra,MO,10.2 Million,480.6539,Engineering,44,2010,3,17,"St. Louis, MO-IL",Olivette
884,Harper Scott,NY,24.2 Million,480.6391,Manufacturing,32,2014,2,4,New York City,New York
885,Crossfire Sound Productions,NY,4.1 Million,478.8563,Consumer Products & Services,60,2013,1,23,New York City,Brooklyn
886,FireDisc Cookers,TX,2.7 Million,478.234,Consumer Products & Services,6,2010,2,5,Houston,Houston
887,Softrams,VA,16 Million,478.1969,IT System Development,100,2007,1,10,"Washington, DC",Leesburg
888,MDsave,TN,21.3 Million,477.4576,Health,44,2012,2,23,Nashville,Brentwood
889,Skynet Healthcare Technologies,FL,4.7 Million,477.337,Health,34,2013,2,12,Tampa,Palm Harbor
890,Peridot Solutions,VA,26.6 Million,476.8776,Business Products & Services,160,2007,3,25,"Washington, DC",McLean
891,Dock Street Trading,IN,2.1 Million,476.232,Consumer Products & Services,9,2015,1,3,"Indianapolis, IN",Indianapolis
892,Anchour,ME,2.5 Million,476.0364,Advertising & Marketing,19,2013,1,6,,Lewiston
893,Hawke Media,CA,14 Million,475.4508,Advertising & Marketing,130,2014,2,35,Los Angeles,Los Angeles
894,Blue Canyon Technologies,CO,31.1 Million,473.9452,Engineering,121,2008,3,17,"Boulder, CO",Boulder
895,Sojourn Solutions,TX,4.2 Million,473.5921,Advertising & Marketing,50,2015,1,10,Dallas,Fort Worth
896,MzeroA.com,FL,3.7 Million,473.5028,Education,19,2010,3,3,,Ocala
897,Fast Slow Motion,AL,3.5 Million,473.4922,IT System Development,25,2014,1,5,"Birmingham, AL",Birmingham
898,American Business Brokers,UT,15.7 Million,473.2924,Business Products & Services,4,2013,3,1,Salt Lake City,Holladay
899,The Retail Outsource,FL,99.6 Million,473.0072,Retail,3287,2000,5,734,Miami,Coral Gables
900,ProcureIT Network,MO,4.7 Million,472.8643,Software,2,2013,2,2,"Kansas City, MO-KS",Grain Valley
901,Orion Consulting Group,MD,5.1 Million,472.0827,Government Services,57,2013,1,9,"Washington, DC",Derwood
902,Proforma Springboard Promotions,NC,2.4 Million,470.9415,Business Products & Services,7,2013,2,2,,Durham
903,CentralReach,FL,16.4 Million,470.7448,Software,142,2012,1,46,Miami,Pompano Beach
903,LMK Clinical Research Consulting,NC,2.8 Million,470.2944,Health,38,2014,1,12,Charlotte,Huntersville
904,MessageWrap,MI,2.8 Million,470.0645,Advertising & Marketing,14,2011,1,7,,Grand Rapids
905,The Pet Loss Center,TX,8.6 Million,469.7961,Consumer Products & Services,96,2014,1,15,Dallas,Irving
906,Health Union,PA,29.6 Million,468.9677,Health,126,2010,2,20,Philadelphia,Philadelphia
907,Kartago America,NJ,4.6 Million,468.8703,Food & Beverage,3,2014,1,2,New York City,kenilworth
908,CardFlight,NY,7.1 Million,468.6064,Financial Services,45,2013,2,14,New York City,New York
909,Clientserver Technology Solutions,NJ,3 Million,466.7437,IT System Development,36,2012,2,15,New York City,Iselin
910,DLP Real Estate Capital,PA,80.9 Million,466.1983,Real Estate,296,2010,1,55,"Allentown-Bethlehem-Easton, PA-NJ",Bethlehem
911,Friendly Home Services,UT,9 Million,465.9923,Construction,52,2015,1,15,Salt Lake City,Salt Lake City
912,Zoup! Specialty Products,MI,2.6 Million,465.5175,Consumer Products & Services,3,2012,1,2,Detroit,Southfield
913,Uber Technologies,CA,11.3 Billion,464.9123,Consumer Products & Services,22263,2009,1,22263,San Francisco,San Francisco
914,EngagedIN,CA,2.2 Million,464.8718,Health,8,2013,2,3,,FELTON
915,RagingBull.com,NH,33.6 Million,464.8465,Education,40,2010,1,10,Boston,LEE
916,Holzer Resnick Contracting,PA,4.4 Million,464.3846,Construction,25,2006,1,4,"Pittsburgh, PA",Pittsburgh
917,Wishlist Rewards,CO,2.7 Million,463.0888,Human Resources,25,2013,1,9,Denver,Denver
918,Edge Logistics,IL,46.6 Million,462.9723,Logistics & Transportation,43,2014,2,14,Chicago,Chicago
919,Visible Supply Chain Management,UT,357.8 Million,461.0125,Logistics & Transportation,802,1992,2,100,Salt Lake City,Salt Lake City
920,Skynet Integrations,FL,2 Million,460.5518,Security,8,2013,1,5,Tampa,Tampa
921,Luxe RV,CA,2.1 Million,459.931,Travel & Hospitality,27,2014,1,12,Los Angeles,Los Angeles
922,Burgess Civil,FL,14.2 Million,459.2917,Construction,55,2014,1,15,Tampa,Tampa
923,Chad T. Wilson Law Firm,TX,5.2 Million,459.181,Consumer Products & Services,22,2011,2,3,Houston,Webster
924,FlexPrint Managed Print Solutions,AZ,257 Million,458.4627,Business Products & Services,1000,2005,10,195,Phoenix,MESA
925,Norada Real Estate Investments,CA,2 Million,458.3101,Real Estate,10,2004,1,5,Los Angeles,Laguna Niguel
926,Excel Impact,OH,31.6 Million,458.3096,Insurance,12,2013,3,3,Cleveland,Medina
927,Kord Technologies,AL,70.1 Million,458.0281,Government Services,243,2008,3,50,"Huntsville, AL",Huntsville
928,Eva Garland Consulting,NC,2.6 Million,457.9597,Business Products & Services,21,2013,2,1,"Raleigh, NC",Raleigh
929,Brivity,WA,10.3 Million,457.8666,Software,90,2012,4,40,,Bellingham
930,Natural Force,FL,4 Million,457.5408,Food & Beverage,5,2009,2,2,"Jacksonville, FL",Jacksonville
931,Wright Energy Partners,MI,2.1 Million,457.4884,Energy,15,2015,1,2,Detroit,Detroit
932,Tech Talent South,NC,2.8 Million,456.83,Education,15,2014,2,10,Charlotte,Charlotte
933,FHE,CO,125.5 Million,456.3699,Manufacturing,140,2007,3,34,,Fruita
934,Beer Home Team,CA,5.1 Million,456.3029,Real Estate,31,2008,3,8,San Diego,San Diego
935,Global Soft Systems,KS,2.1 Million,455.3191,IT System Development,32,2004,2,5,"Kansas City, MO-KS",Overland Park
936,Ecomitize,NE,3 Million,455.2926,IT System Development,39,2013,2,33,"Omaha-Council Bluffs, NE-IA",Omaha
937,Chenal Family Therapy,AR,4.2 Million,454.8189,Health,92,2010,2,22,,Little Rock
938,Grand Canyon Gas Logs,AZ,2.7 Million,453.0578,Manufacturing,10,2014,1,3,Phoenix,Phoenix
939,VOLO,MD,8.5 Million,452.5668,Consumer Products & Services,65,2013,2,3,Baltimore,Baltimore
940,Trupet,OH,15.8 Million,452.5416,Retail,54,2013,2,15,Cincinnati,Milford
941,Wafts Solutions,NY,3.6 Million,451.1012,IT System Development,40,2014,1,7,"Albany-Schenectady-Troy, NY",ALBANY
942,Freedom Real Estate,AL,3.7 Million,450.5605,Real Estate,4,2014,1,1,"Huntsville, AL",Huntsville
943,Volt Athletics,WA,2.9 Million,450.2605,Consumer Products & Services,25,2011,2,9,Seattle,Seattle
944,Bluewater Media,FL,66.5 Million,449.3176,Advertising & Marketing,65,2005,3,33,Tampa,Clearwater
945,RKB Handyman Services,NY,5 Million,449.0669,Retail,12,2014,1,5,New York City,Hauppauge
946,E Contractors,TX,32.2 Million,448.8235,Construction,33,2011,1,10,Houston,Sugar Land
947,RIVS,IL,5.2 Million,448.3944,Software,34,2011,2,28,Chicago,Chicago
948,Motus,MA,84.1 Million,448.2245,Software,206,2004,1,90,Boston,Boston
949,MJ Seats,VA,2.9 Million,448.118,Consumer Products & Services,1,2014,2,1,"Washington, DC",Arlington
950,Inter-Op,VA,5.1 Million,447.8459,IT Management,52,2004,2,15,Virginia Beach,Virginia Beach
951,Elevate Staffing,CA,8 Million,445.9853,Advertising & Marketing,32,2014,1,7,Los Angeles,Glendale
952,Coffee Meets Bagel,CA,15.8 Million,445.5394,Consumer Products & Services,51,2012,2,28,San Francisco,San Francisco
953,Streamline Marketing,WA,2.4 Million,445.2906,Advertising & Marketing,24,2014,2,2,Seattle,Seattle
954,GEN-Y Hitch,IN,5.2 Million,444.3233,Manufacturing,10,2012,2,2,,Nappanee
955,Reverb.com,IL,36.1 Million,443.686,Retail,180,2012,3,70,Chicago,Chicago
956,Tipping Point Solutions,CO,5 Million,443.5866,Education,36,2011,2,9,Denver,Centennial
957,Need/Want,FL,3.8 Million,443.186,Retail,6,2014,2,5,"St. Louis, MO-IL",Miami
958,Socialfly,NY,5.4 Million,442.7456,Advertising & Marketing,27,2012,2,10,New York City,New York
959,Everyware,TX,4.1 Million,442.4667,Software,12,2015,1,4,Austin,Austin
960,Trash Butler,FL,3.8 Million,442.0521,Environmental Services,195,2013,2,31,Tampa,Tampa
961,Channel Partners Capital,MN,23 Million,441.4271,Financial Services,41,2009,7,21,Minneapolis,Minnetonka
962,Savan Group,VA,13.8 Million,441.1344,Government Services,67,2006,4,25,"Washington, DC",McLean
963,Onit,TX,16.7 Million,440.8789,Software,162,2011,4,25,Houston,Houston
964,Better.com,NY,20.7 Million,440.864,Financial Services,591,2015,1,55,New York City,New York
965,Skuid,TN,20.9 Million,439.9906,Software,142,2013,2,45,,Chattanooga
966,Forcura,FL,7.1 Million,438.6415,Software,41,2012,3,9,"Jacksonville, FL",Jacksonville
967,BarnAllen Technologies,MD,63.2 Million,438.5755,IT Management,483,2009,4,132,"Washington, DC",Rockville
968,DMB Financial,MA,26.4 Million,438.3626,Financial Services,147,2003,3,41,Boston,Beverly
969,Audantic,WA,2.5 Million,438.3482,Business Products & Services,7,2014,1,3,Seattle,Bothell
970,Suite Management Franchising,LA,3.1 Million,437.9545,Real Estate,10,2012,1,5,,Metairie
971,The Hoth,FL,18.7 Million,437.3473,Advertising & Marketing,45,2011,3,8,Tampa,St Petersburg
972,360 Energy Solutions,FL,4.8 Million,437.2589,Energy,24,2013,2,14,Miami,Miami
973,Decode Digital Marketing,TX,7.3 Million,436.8432,Advertising & Marketing,30,2013,1,4,Houston,Houston
974,Apetan Consulting,NY,10 Million,436.5824,IT Management,10,2012,2,5,New York City,New York city
975,Virtue Capital Management,TN,6.8 Million,436.1878,Financial Services,23,2013,1,6,Nashville,Brentwood
976,Harts Servcies,WA,4 Million,434.3761,Construction,34,2013,1,6,Seattle,TACOMA
977,Ridge Wallet,CA,19.6 Million,432.9008,Retail,14,2013,1,4,Los Angeles,Los Angeles
978,American Print Consultants,PA,6.6 Million,432.8847,Business Products & Services,17,2015,1,4,,Chambersburg
979,Alley,NY,6.8 Million,432.8401,Business Products & Services,50,2012,2,2,New York City,New York
980,Votto Vines Importing,CT,39.6 Million,432.2984,Food & Beverage,20,2009,6,12,,Hamden
981,"Scott, Vicknair, Hair & Checki",LA,4.6 Million,431.167,Consumer Products & Services,21,2011,2,7,New Orleans,New Orleans
982,3D Solar,FL,6.8 Million,429.7944,Energy,43,2013,2,15,Tampa,Odessa
983,Vessel FWP,CA,4.6 Million,428.7233,Retail,9,2012,2,4,San Diego,Carlsbad
984,Advanced Computer Solutions Group,NJ,3.5 Million,428.4207,IT Management,24,2009,2,7,Philadelphia,Mount Laurel
985,Choozle,CO,17.4 Million,428.2815,Advertising & Marketing,55,2012,3,17,Denver,Denver
986,Ease Logistics,OH,53.5 Million,427.4948,Logistics & Transportation,45,2014,2,11,"Columbus, OH",Dublin
987,Crisp Marketing,TN,10 Million,427.4773,Advertising & Marketing,50,2007,5,15,,memphis
988,Darn Good Yarn,NY,7.1 Million,427.4387,Retail,17,2008,3,3,"Albany-Schenectady-Troy, NY",Halfmoon
989,Beemac,PA,125.9 Million,427.2479,Logistics & Transportation,188,1984,1,58,"Pittsburgh, PA",Ambridge
990,Preferred Home Services,SC,8 Million,426.9773,Construction,45,2014,1,10,"Charleston, SC",North Charleston
991,Ciconix,MD,4.6 Million,426.938,Government Services,38,2012,2,7,Baltimore,Annapolis
992,Atlanta Office Technologies,GA,6.3 Million,426.6312,Business Products & Services,27,2014,1,11,Atlanta,Norcross
993,Seek Business Capital,CA,8.8 Million,426.1835,Financial Services,57,2014,1,15,Los Angeles,Los Angeles
994,Your Business Solutions,TX,2 Million,425.3079,IT Management,18,2004,1,5,Houston,The Woodlands
995,Nomatic,UT,11 Million,425.0665,Consumer Products & Services,20,2014,1,5,Salt Lake City,Sandy
996,Farmgirl Flowers,CA,23.4 Million,424.8674,Retail,106,2010,2,41,San Francisco,San Francisco
997,Bombora,NY,26.4 Million,424.7169,Advertising & Marketing,95,2014,1,19,New York City,New York
998,Frugal Flippers,NY,5.6 Million,424.6089,Retail,5,2015,1,1,,Jordan
999,SUMO Communications,UT,5.1 Million,424.4421,Telecommunications,12,2002,2,2,"Ogden-Clearfield, UT",Centerville
1000,Home View Technologies,UT,16.5 Million,424.0165,Security,110,2005,1,30,"Provo-Orem, UT",Orem
1001,CloudHesive,FL,4.1 Million,423.5815,IT Management,42,2014,1,6,Miami,Fort Lauderdale
1002,Braviant Holdings,IL,67.3 Million,423.5419,Financial Services,56,2014,1,22,Chicago,Chicago
1003,ProSomnus Sleep Technologies,CA,6.7 Million,422.2351,Health,70,2014,1,15,San Francisco,Pleasanton
1004,JP and Associates Realtors,TX,8.9 Million,421.9831,Real Estate,1478,2011,3,345,Dallas,Frisco
1005,23rd Group,NC,21.9 Million,420.4094,Construction,80,2014,2,34,Charlotte,Charlotte
1006,Penji,NJ,2.6 Million,419.5975,Business Products & Services,43,2015,1,4,Philadelphia,Camden
1007,FE International,NY,3.2 Million,419.2767,Business Products & Services,40,2010,1,4,New York City,New York
1008,Tredence,CA,18.8 Million,419.1638,Business Products & Services,381,2012,4,76,San Jose,San Jose
1009,APS Building Services,TX,21.5 Million,418.7937,Business Products & Services,81,2014,1,19,Houston,Houston
1010,Courier Distribution Systems,GA,69.9 Million,418.6519,Logistics & Transportation,2048,2004,3,225,Atlanta,Duluth
1011,Energy Toolbase,FL,2 Million,417.7541,Energy,22,2014,1,3,,Stuart
1012,Pathfinder Consultants,VA,2.9 Million,416.7878,Government Services,42,2010,1,18,"Washington, DC",Sterling
1013,Mission Critical Facilities International,TX,28.9 Million,416.6343,IT Management,27,2010,4,10,Austin,Spicewood
1014,Xavier Creative House,PA,3.1 Million,416.275,Advertising & Marketing,6,2013,1,4,Philadelphia,Warwick
1015,FastExpert,CA,4.4 Million,416.0884,Real Estate,18,2014,2,8,Los Angeles,San Marino
1016,Beverly Hills Teddy Bear,CA,50.4 Million,415.4602,Consumer Products & Services,23,1992,2,9,Los Angeles,Newhall
1017,MOD Pizza,WA,311.8 Million,414.6372,Food & Beverage,6000,2008,6,3000,Seattle,Bellevue
1018,Chandlee and Sons Construction,GA,12.3 Million,414.3056,Construction,25,2006,2,5,Atlanta,Alpharetta
1019,Cherry Blow Dry Bar,NJ,5.6 Million,413.3721,Consumer Products & Services,50,2013,1,5,,Cherry Hill
1019,Applied Development,MD,2.3 Million,413.3384,Government Services,25,2011,1,5,Baltimore,Baltimore
1020,Definitive Healthcare,MA,58.9 Million,413.2693,Software,299,2011,3,89,Boston,Framingham
1021,Reliance Partners,TN,10.1 Million,412.6321,Insurance,118,2009,4,21,,Chattanooga
1022,Lief Labs,CA,50.1 Million,412.5944,Health,200,2008,4,75,Los Angeles,Valencia
1023,Inseev Interactive,CA,3.8 Million,410.8036,Advertising & Marketing,37,2013,2,4,San Diego,San Diego
1024,Leeward Business Advisors,WI,3.6 Million,410.4849,IT Management,27,2014,1,8,Chicago,Kenosha
1025,E. Bouchard Company,ME,3.7 Million,410.1151,Retail,3,2014,1,1,,Caribou
1026,Pensionmark Financial Group,CA,28.4 Million,409.8978,Financial Services,273,1988,6,120,"Santa Barbara-Santa Maria-Goleta, CA",Santa Barbara
1027,ShalePro Energy Services,PA,44.3 Million,409.7759,Energy,342,2014,2,94,"Pittsburgh, PA",Houston
1028,Senior Healthcare Direct,FL,5.9 Million,409.5909,Insurance,28,2012,1,8,Tampa,Palm Harbor
1029,ZippyPaws,CA,15.6 Million,409.2259,Consumer Products & Services,18,2011,3,8,"Inland Empire, CA",Chino
1030,Stay Alfred,WA,66.5 Million,408.9666,Travel & Hospitality,229,2011,4,56,,Spokane Valley
1031,Dropps,PA,4.2 Million,408.5899,Consumer Products & Services,7,2006,1,4,Philadelphia,Philadelphia
1032,Fresh Consulting,WA,32.5 Million,407.7727,Business Products & Services,194,2007,7,54,Seattle,Bellevue
1033,NimbeLink,MN,11.7 Million,406.771,Telecommunications,18,2013,2,12,Minneapolis,plymouth
1034,Century Support Services,PA,49.5 Million,406.1393,Financial Services,278,2012,3,136,"Pittsburgh, PA",N. Huntingdon
1035,FrontRunnerHC,MA,4.2 Million,405.695,Software,16,2010,1,9,Boston,Plymouth
1036,United Carports,CA,7.1 Million,405.5416,Manufacturing,34,2011,3,21,"Inland Empire, CA",Riverside
1037,Nexxt Gen,TX,5.8 Million,405.2874,Telecommunications,60,2012,1,15,,Irving Texas
1038,Terradyne Engineering,TX,6.5 Million,405.0834,Engineering,61,1995,1,14,Dallas,Euless
1039,Utah Global Transportation Management Solutions,UT,4.3 Million,404.954,Logistics & Transportation,13,2009,1,4,Salt Lake City,Bluffdale
1040,PM Consulting Group,MD,4.2 Million,403.6955,Business Products & Services,60,2008,1,5,Baltimore,Towson
1041,Greenhouse Software,NY,38 Million,403.4466,Software,267,2012,2,180,New York City,New York
1042,Amazing Lash Studio,AZ,11.6 Million,402.9689,Consumer Products & Services,181,2010,2,12,Phoenix,Scottsdale
1043,RevolutionParts,AZ,8.1 Million,400.7489,Software,65,2013,3,16,Phoenix,Phoenix
1044,Metropolitan interactive,CT,15 Million,400.4688,Construction,24,2013,2,12,,Oxford
1045,A1 Garage Door Service and Repair,AZ,28.2 Million,399.7031,Consumer Products & Services,180,2007,2,54,Phoenix,Tempe
1046,Triumph Construction,LA,4.6 Million,399.5549,Construction,25,2009,1,5,"Baton Rouge, LA",Baton Rouge
1047,Verde Solutions,IL,6.6 Million,399.2196,Energy,14,2012,3,4,Chicago,Chicago
1048,High Road Craft Ice Cream,GA,15.3 Million,399.1759,Food & Beverage,45,2010,4,30,Atlanta,Marietta
1049,World Services,VA,3.9 Million,399.0164,Government Services,25,2010,3,5,"Washington, DC",Alexandria
1050,Fire & Brilliance,CA,3.2 Million,398.8996,Retail,15,2010,1,2,San Jose,Santa Clara
1051,Shockoe.com,VA,4.1 Million,398.8814,Software,38,2010,3,12,"Richmond, VA",Richmond
1052,Zaniboni Lighting,FL,6.7 Million,398.4948,Manufacturing,51,2014,2,17,Tampa,Clearwater
1053,Swenson He,CA,4.7 Million,398.3363,Software,19,2014,1,6,Los Angeles,Culver City
1054,GreyCastle Security,NY,9.2 Million,398.2465,Security,62,2011,3,10,"Albany-Schenectady-Troy, NY",Troy
1055,Drive Social Media,MO,7.8 Million,397.5,Advertising & Marketing,83,2012,3,30,"St. Louis, MO-IL",St Louis
1056,Phoenix Logistics,AZ,33.5 Million,397.3707,Manufacturing,257,1991,2,55,Phoenix,Mesa
1057,TrueIT,ND,12.1 Million,396.7941,IT Management,58,2012,3,23,,West Fargo
1058,Embark,TX,7.4 Million,395.9704,Financial Services,62,2010,2,10,Dallas,Dallas
1059,Mynt Systems,CA,7.9 Million,395.8007,Engineering,17,2014,1,7,,SANTA CRUZ
1060,Breeze IT,CA,13.6 Million,395.0837,IT Management,18,2010,3,8,Los Angeles,Costa Mesa
1061,Sustainable Comfort,MA,3.7 Million,394.5644,Construction,31,2014,1,5,,Worcester
1062,TGW Company,MI,3.6 Million,393.9613,Consumer Products & Services,8,2014,2,2,"Ann Arbor, MI",Ann Arbor
1063,Johnson Roofing & Restoration,OH,5.4 Million,393.8611,Construction,17,2006,2,5,,Toledo
1063,Street Smart Transmission,FL,7.5 Million,393.7764,Retail,17,2011,3,10,Tampa,Tampa
1064,Bestica,TX,15.7 Million,393.7102,IT Management,200,2005,2,70,"San Antonio, TX",San Antonio
1065,Raymer Oil Company,NC,153.2 Million,393.6153,Retail,350,1945,3,75,,Statesville
1066,TickPick,NJ,117.6 Million,393.4736,Consumer Products & Services,26,2011,4,7,New York City,New York
1067,The Kool Source,GA,5 Million,393.3721,Advertising & Marketing,2,2013,1,1,Atlanta,Atlanta
1068,Sunken Stone,CA,21.5 Million,393.2515,Advertising & Marketing,22,2009,2,2,San Diego,San Diego
1069,Camrock Oil & Supply,OK,2.5 Million,392.4645,Energy,9,2014,1,3,,Elk city
1070,Spinutech,IA,15.4 Million,392.1356,Advertising & Marketing,59,2000,2,26,,Cedar Falls
1071,Blueprint Consulting Services,DC,12.2 Million,391.504,Government Services,70,2011,1,8,"Washington, DC",Washington
1072,Sante Realty Investments,AZ,14.5 Million,390.7107,Real Estate,70,2009,4,10,Phoenix,Chandler
1073,Prime Therapeutics,MN,21.4 Billion,390.5654,Health,3300,1998,8,3900,Minneapolis,Eagan
1074,Engage3,CA,5.6 Million,390.4005,Software,37,2008,3,12,"Sacramento, CA",DAVIS
1075,Mark Sanders - Alrossa,NY,9 Million,390.0143,Retail,10,2015,1,1,New York City,Brooklyn
1076,Income Store,PA,50.7 Million,389.3853,Advertising & Marketing,120,2009,6,35,Chicago,Lancaster
1077,Autonomous Media,NJ,2.2 Million,388.2266,Media,15,2014,1,2,New York City,Red Bank
1078,AIIR Consulting,PA,3.9 Million,387.6855,Business Products & Services,12,2009,1,4,Philadelphia,Bala Cynwyd
1079,CallRail,GA,30.4 Million,387.4513,Software,167,2011,4,33,Atlanta,Atlanta
1080,Pendant Automation,MD,3.4 Million,387.3514,Engineering,11,2006,2,6,"Washington, DC",Havre de Grace
